hotel_id,hotel_name,address,price_per_night,star_rating,restaurant_included,description,availability_status,city_id
25,The Shelbourne Dublin,"St. Stephen's Green, Dublin",200.00,5,1,Landmark Georgian hotel on St. Stephen's Green since 1824.,available,13
26,The Merrion Hotel,"Upper Merrion Street, Dublin",240.00,5,1,Five-star hotel in four restored Georgian town houses beside Government buildings.,available,13
27,Hotel Katajanokka,"Merikasarminkatu 1a, Helsinki",115.00,4,1,Unique hotel in a converted 1888 prison building on the Katajanokka peninsula.,available,14
28,Hotel Haven,"Unioninkatu 17, Helsinki",170.00,5,1,Intimate harbour-side luxury hotel with a Michelin-recommended restaurant.,available,14
29,InterContinental Kyiv,"Velyka Zhytomyrska 2a, Kyiv",80.00,5,1,Luxury high-rise hotel with panoramic views of St. Sophia's Cathedral.,available,15
30,Premier Palace Hotel,"Tarasa Shevchenka Blvd 5-7/29, Kyiv",50.00,5,1,Grand early-20th-century palace hotel in the heart of the Ukrainian capital.,available,15
31,Bairro Alto Hotel,"Praca Luis de Camoes 2, Lisbon",150.00,5,1,Original design hotel in an 18th-century building in historic Bairro Alto.,available,16
32,Memmo Alfama,"Travessa Merceeiras 27, Lisbon",100.00,4,1,Boutique hotel with an infinity pool and sweeping views over the Alfama.,available,16
33,Grand Hotel Union,"Miklosiceva Cesta 1, Ljubljana",95.00,4,1,"Art Nouveau landmark on Republic Square, the pride of Slovenian hospitality.",available,17
34,Vander Urbani Resort,"Krojaška Ulica 6-8, Ljubljana",85.00,4,1,Boutique design hotel conversion of four 18th-century town houses by the river.,available,17
35,The Savoy,"Strand, London",350.00,5,1,Iconic Thames-side Art Deco and Edwardian luxury hotel open since 1889.,available,18
36,The Hoxton Shoreditch,"Shoreditch High Street, London",160.00,4,1,Cool design hotel in the heart of East London's creative quarter.,available,18
37,Hotel Le Royal Luxembourg,"Boulevard Royal 12, Luxembourg",200.00,5,1,Five-star hotel in the financial district with a renowned spa and restaurant.,available,19
38,Sofitel Luxembourg Europe,"Rue le Fosse 4, Luxembourg",150.00,5,1,Chic contemporary hotel near the European institutions.,available,19
39,Hotel Ritz Madrid,"Plaza de la Lealtad 5, Madrid",280.00,5,1,"Palace-era landmark hotel next to the Prado, a Madrid institution since 1910.",available,20
40,Only YOU Hotel Atocha,"Paseo Infanta Isabel 13, Madrid",120.00,4,1,Design-forward lifestyle hotel steps from Atocha station and the Reina Sofia.,available,20
41,Hotel Europe Minsk,"Internatsionalnaya 25, Minsk",50.00,5,1,Historical five-star hotel in the very centre of the Belarusian capital.,available,21
42,Crowne Plaza Minsk,"Komsomolskaya 6, Minsk",45.00,4,1,International brand hotel beside Victory Square with modern amenities.,available,21
43,Hotel de Paris Monte-Carlo,"Place du Casino, Monaco",500.00,5,1,"Belle Epoque palace overlooking the Casino Square, a Riviera icon since 1863.",available,22
44,Fairmont Monte Carlo,"Avenue des Spelugues 12, Monaco",350.00,5,1,Glamorous cliffside resort hotel built over the Mediterranean Sea.,available,22
45,Hilton Nicosia,"Archbishop Makarios 3 Ave, Nicosia",90.00,5,1,Flagship five-star hotel in the new city with a rooftop pool.,available,23
46,Classic Hotel Nicosia,"Rigainis 94, Nicosia",60.00,3,1,Comfortable budget-friendly hotel in a quiet street near the old city walls.,available,23
47,The Thief,"Landgangen 1, Oslo",220.00,5,1,Contemporary art hotel on Tjuvholmen peninsula with a private beach.,available,24
48,Grand Hotel Oslo,"Karl Johans Gate 31, Oslo",180.00,5,1,Legendary 19th-century hotel where Henrik Ibsen was a regular guest.,available,24
49,Le Bristol Paris,"Rue du Faubourg Saint-Honore 112, Paris",500.00,5,1,Palace hotel on the most prestigious shopping street in the world.,available,25
50,Hotel Monge,"Rue Monge 55, Paris",130.00,4,1,Intimate boutique hotel in the Latin Quarter steps from the Jardin des Plantes.,available,25
51,Hilton Podgorica Crna Gora,"Bulevar Svetog Petra Cetinjskog 2, Podgorica",90.00,5,1,Modern five-star hotel on the main boulevard in central Podgorica.,available,26
52,Hotel Kerber,"Moskovska 69, Podgorica",45.00,3,1,Well-located three-star hotel popular with business travellers.,available,26
53,Hotel Paris Prague,"U Obecniho Domu 1, Prague",120.00,5,1,Neo-Gothic Art Nouveau masterpiece adjacent to the Municipal House.,available,27
54,Mosaic House Prague,"Odboru 4, Prague",65.00,3,1,Award-winning design hostel-hotel hybrid in the Nusle neighbourhood.,available,27
55,Hotel Borg,"Posthusstraeti 11, Reykjavik",200.00,4,1,Art Deco landmark overlooking the Parliament square since 1930.,available,28
56,Ion City Hotel,"Laugavegur 28, Reykjavik",130.00,4,1,Stylish boutique hotel on the main shopping street close to Hallgrimskirkja.,available,28
57,Grand Hotel Kempinski Riga,"Aspazijas Bulvaris 22, Riga",160.00,5,1,Luxury hotel overlooking the Freedom Monument in the heart of Riga.,available,29
58,Hotel Bergs,"Elizabetes Iela 83-85, Riga",100.00,5,1,Stylish boutique hotel in a landmark Art Nouveau building in the quiet centre.,available,29
59,Hotel de Russie,"Via del Babuino 9, Rome",350.00,5,1,Iconic five-star retreat between Piazza del Popolo and the Spanish Steps.,available,30
60,Palazzo Manfredi,"Via Labicana 125, Rome",200.00,5,1,Boutique hotel with a rooftop restaurant directly opposite the Colosseum.,available,30
61,Hotel Titano,"Contrada del Collegio 31, San Marino",90.00,3,1,Traditional hotel in the historic centre with panoramic terrace views.,available,31
62,Hotel Cesare,"Via Donna Felicissima 16, San Marino",70.00,3,0,Family-run hotel offering comfortable rooms near the Third Tower.,available,31
63,Hotel Europe Sarajevo,"Julija Dzerzinskoga 5, Sarajevo",65.00,4,1,Austro-Hungarian landmark hotel in the pedestrian heart of Sarajevo.,available,32
64,Hotel Astra Garni,"Zelenih Beretki 9, Sarajevo",40.00,3,0,Cosy budget-friendly hotel in the Bascarsija old bazaar quarter.,available,32
65,DoubleTree by Hilton Skopje,"Str. Nikola Vapcarov 2, Skopje",70.00,5,1,Contemporary five-star hotel on the Vardar River with a rooftop pool.,available,33
66,Hotel Arka,"Kosta Novakovikj bb, Skopje",45.00,4,1,Comfortable business hotel within walking distance of the Old Bazaar.,available,33
67,Sofia Hotel Balkan,"Sveta Nedelya 5, Sofia",85.00,5,1,"Grand historic hotel on the central square, a Sofia institution since 1955.",available,34
68,Hotel Les Fleurs,"Vitosha Blvd 21, Sofia",50.00,4,1,Elegant boutique hotel in a 19th-century building on the main pedestrian street.,available,34
69,Grand Hotel Stockholm,"Sodra Blasieholmshamnen 8, Stockholm",260.00,5,1,"Legendary waterfront hotel facing the Royal Palace, home of the Nobel banquet.",available,35
70,Hotel Skeppsholmen,"Gröna Gangen 1, Stockholm",150.00,4,1,Design hotel on the museum island of Skeppsholmen in central Stockholm.,available,35
71,Hotel Telegraaf,"Vene 9, Tallinn",110.00,5,1,Luxury hotel converted from the 1888 Tallinn central telegraph office.,available,36
72,Hotel Schlossle,"Puhavaimu 13-15, Tallinn",90.00,5,1,Intimate medieval hotel in a cluster of 15th-century merchant houses.,available,36
73,Hotel Tirana International,"Sheshi Skenderbej, Tirana",50.00,4,1,Centrally located hotel overlooking Skanderbeg Square since 1979.,available,37
74,Rogner Hotel Tirana,"Bulevardi Deshmoret e Kombit, Tirana",55.00,4,1,Lush garden hotel on the main boulevard close to the National History Museum.,available,37
75,Park-Hotel Sonnenhof,"Mareestrasse 29, Vaduz",160.00,4,1,Family-run luxury hotel with mountain views above the Rhine valley.,available,38
76,Hotel Real,"Städtle 21, Vaduz",100.00,3,1,Central hotel steps from the National Art Museum and Vaduz Castle trail.,available,38
77,The Phoenicia Malta,"The Mall, Floriana, Valletta",140.00,5,1,Elegant 1940s colonial hotel with formal gardens at Valletta's grand entrance.,available,39
78,Rosselli AX Privilege,"St John Street 10, Valletta",110.00,5,1,Boutique hotel in a 16th-century palazzo near St John's Co-Cathedral.,available,39
79,Hotel Columbus,"Via della Conciliazione 33, Vatican City",180.00,4,1,Palazzo hotel a hundred metres from St. Peter's Square.,available,40
80,Residenza Paolo VI,"Via Paolo VI 29, Vatican City",200.00,4,1,Exclusive residence directly overlooking St. Peter's Square.,available,40
81,Hotel Sacher Wien,"Philharmoniker Str. 4, Vienna",280.00,5,1,"Legendary five-star hotel famed for the original Sachertorte, open since 1876.",available,41
82,Hotel Imperial Vienna,"Karntner Ring 16, Vienna",310.00,5,1,"Former palace of the Duke of Wurttemberg, now a Viennese imperial institution.",available,41
83,Stikliai Hotel,"Gaono 7, Vilnius",90.00,5,1,Intimate five-star hotel in the heart of the UNESCO Baroque old town.,available,42
84,Shakespeare Boutique Hotel,"Bernardinu 8-8, Vilnius",70.00,4,1,Romantic literary-themed hotel in a restored 17th-century building.,available,42
85,Hotel Bristol Warsaw,"Krakowskie Przedmiescie 42-44, Warsaw",160.00,5,1,Grand neoclassical-Art Nouveau hotel on the Royal Road since 1901.,available,43
86,Raffles Europejski Warsaw,"Krakowskie Przedmiescie 13, Warsaw",200.00,5,1,Opulent 19th-century landmark hotel recently restored to its original splendour.,available,43
87,Esplanade Zagreb Hotel,"Mihanoviceva 1, Zagreb",130.00,5,1,Art Deco grand hotel built in 1925 for passengers of the Orient Express.,available,44
88,Hotel Jagerhorn,"Ilica 14, Zagreb",75.00,3,1,"Oldest hotel in Zagreb, tucked into a courtyard just off Ban Jelacic Square.",available,44
